transcript gene 001_5d234 002_embABC 003_rootABC 004_15d124 005_leafABC 006_inf2FGH 007_nodABC 008_inf1ABC
MLOC_10381.1 MLOC_10381 0.0781603 0.235044 0.514647 0.324973 0 0.256145 0.0853004 0
MLOC_10384.1 MLOC_10384 3.8555 0 0 0 0 0.0198736 0 0
MLOC_10385.1 MLOC_10385 0.0869284 1.80034 20.7458 2.89426 1.4193 0.560804 68.5645 1.08106
MLOC_10389.1 MLOC_10389 24.7926 28.3655 50.3721 49.0011 9.71504 31.05 29.2787 42.8995
MLOC_10391 MLOC_10391 8.31245 7.28224 6.9857 9.52629 5.54459 15.9495 22.9301 11.8636
MLOC_10392.5 MLOC_10392 9.6382 1.4765 4.58714 17.4827 10.2241 1.88027 10.4002 4.41779
MLOC_10394.1 MLOC_10394 0 0 0 0 0 0.691395 0 0
MLOC_10397.1 MLOC_10397 0.111223 8.70709 59.8435 0.417714 5.45936 0.172909 798.179 0.221734
MLOC_10398.1 MLOC_10398 26.3651 17.7442 67.2522 25.7062 74.9593 25.4011 64.2569 19.0488
MLOC_10399.1 MLOC_10399 9.42347 6.62138 11.934 1.11888 7.88951 41.3634 149.114 51.3601
MLOC_10400.1 MLOC_10400 188.533 167.142 195.398 164.092 57.9383 293.283 89.7182 260.097
MLOC_10401.1 MLOC_10401 9.9959 5.36929 6.85881 0.263625 4.46483 0.0321928 70.1976 0.14096
MLOC_10404.1 MLOC_10404 76.9466 63.5702 121.353 49.7783 53.7698 92.6974 350.42 68.4676
MLOC_10405.1 MLOC_10405 172.919 191.049 247.584 107.665 47.1345 96.8685 145.164 90.6407
MLOC_10406 MLOC_10406 12.9466 23.7112 29.3727 5.60313 23.2951 11.6633 49.0802 12.5946
MLOC_10407.1 MLOC_10407 10.4916 0.0349765 0 48.4067 0 0.0467646 0 0.0301126
MLOC_10408.1 MLOC_10408 0.0661796 0.176701 2.19116 59.5665 0.111237 0.179784 0.144482 0.0546703
MLOC_10411.2 MLOC_10411 10.3247 8.40682 7.78196 12.0827 6.47163 17.1963 6.08043 14.9965
MLOC_10412 MLOC_10412 31.7184 45.189 44.8916 27.5935 32.422 28.2567 149.148 25.094
MLOC_10413.1 MLOC_10413 0.404298 0.18077 3.16501 3.69275 33.0182 0.101968 17.4125 0
MLOC_10418.2 MLOC_10418 0.300121 0 0 0 0 0 0 0
MLOC_10420.2 MLOC_10420 1.69383 0.0286734 0.0299867 2.30029 6.93123 0.542657 15.2178 0.53464
MLOC_10422 MLOC_10422 12.3828 23.8216 23.2392 11.5835 31.7125 9.36192 110.783 11.435
MLOC_10423 MLOC_10423 4.97479 6.75454 18.2285 3.3057 50.5021 4.83751 126.939 6.25011
MLOC_10424 MLOC_10424 24.891 21.1709 24.951 29.6848 16.3873 48.0357 32.6641 35.6804
MLOC_10425.2 MLOC_10425 0 0.560295 0.959968 0.289342 0 0.008807 0 0
MLOC_10428 MLOC_10428 11.3865 9.34204 3.04105 3.30797 55.9319 7.97206 45.0266 8.80077
MLOC_10431.1 MLOC_10431 2.08316 0.177276 0.422855 0.937174 33.3583 0.196222 163.662 0.234022
MLOC_10432 MLOC_10432 97.549 79.1612 79.2195 125.409 48.3796 83.2566 225.305 66.8111
MLOC_10434 MLOC_10434 14.4917 19.6985 8.31709 41.5236 18.8785 19.9028 30.3437 18.313
MLOC_10435.2 MLOC_10435 7.97733 5.42441 5.90543 10.2904 5.1947 14.2016 12.8769 8.87359
MLOC_10437.1 MLOC_10437 2.51977 2.40028 2.02743 1.38134 1.15741 11.1884 0.165484 10.0066
MLOC_10438.1 MLOC_10438 100.553 140.28 164.132 42.5169 178.242 182.438 433.274 134.943
MLOC_10439 MLOC_10439 0.0177605 7.10757 16.9709 0.136356 5.99303 0.0359002 3.23022 0.0330289
MLOC_1044.1 MLOC_1044 0.286634 7.5808 61.4652 1.20671 4.04889 0 0.823145 0
MLOC_10440.4 MLOC_10440 0.348125 1.07255 2.3612 0.263643 0.391094 1.19483 15.8313 0.605616
MLOC_10443.3 MLOC_10443 6.08511 1.80498 1.37767 5.94042 1.95537 3.6937 9.51293 1.18045
MLOC_10449.1 MLOC_10449 8.05634 7.25509 12.6019 13.3264 5.74642 27.0509 20.0135 13.8569
MLOC_10450.1 MLOC_10450 17.1905 20.2427 8.17848 47.2801 9.47722 14.5306 4.80809 8.31395
MLOC_10452.1 MLOC_10452 0.0785495 0.224127 0.312626 0.14212 0.27688 0.104231 0.443824 0.287897
MLOC_10453.3 MLOC_10453 31.7191 18.6178 8.02504 6.57211 59.7999 12.5451 36.4597 9.11844
MLOC_10456.1 MLOC_10456 18.9036 10.2914 4.89326 68.8731 2.58609 1.18977 7.77377 0.893132
MLOC_10457.2 MLOC_10457 804.717 718.692 980.747 1486.38 444.095 326.576 1733.54 309.161
MLOC_10463.1 MLOC_10463 5.77841 8.79167 22.4059 5.29704 10.6141 16.2533 35.7063 9.76806
MLOC_10464 MLOC_10464 30.3947 24.3803 15.2392 22.84 36.9674 22.681 86.5862 21.0441
MLOC_10465.1 MLOC_10465 140.79 126.482 147.227 79.0157 47.9139 136.75 200.955 109.321
MLOC_10466.1 MLOC_10466 0.0356415 0.135983 0.071062 0.076973 0.256686 0.0791423 1.3809 0.0231401
MLOC_10471.6 MLOC_10471 0.994484 3.78755 6.41539 0.640124 0.970439 6.37241 3.80165 2.95379
MLOC_10472 MLOC_10472 6.25091 5.65214 3.3802 2.27533 15.8583 7.96026 16.5789 5.66414
MLOC_10478.2 MLOC_10478 83.9908 79.7945 102.055 122.782 50.9479 162.447 205.314 127.536
