gene	module	isHub
MLOC_30152.1	004_15d124	TRUE
MLOC_30249.1	004_15d124	TRUE
MLOC_30287.1	004_15d124	TRUE
MLOC_30349.1	004_15d124	TRUE
MLOC_30414.1	004_15d124	TRUE
MLOC_30458.1	004_15d124	TRUE
MLOC_30469.1	004_15d124	TRUE
MLOC_30470.1	004_15d124	TRUE
MLOC_3049.1	004_15d124	TRUE
MLOC_30524.1	004_15d124	TRUE
MLOC_30548.1	004_15d124	TRUE
MLOC_30581.1	004_15d124	TRUE
MLOC_3071.1	004_15d124	TRUE
MLOC_30768.1	004_15d124	TRUE
MLOC_30847.1	004_15d124	TRUE
MLOC_30865.1	004_15d124	TRUE
MLOC_30920.1	004_15d124	TRUE
MLOC_30945.1	004_15d124	TRUE
MLOC_31034.1	004_15d124	TRUE
MLOC_31049.1	004_15d124	TRUE
MLOC_31061	004_15d124	TRUE
MLOC_31096.1	004_15d124	TRUE
MLOC_31099.1	004_15d124	TRUE
MLOC_311.1	004_15d124	TRUE
MLOC_31106.1	004_15d124	TRUE
MLOC_3114.1	004_15d124	TRUE
MLOC_31156.1	004_15d124	TRUE
MLOC_31183.2	004_15d124	TRUE
MLOC_31198.1	004_15d124	TRUE
MLOC_31204.1	004_15d124	TRUE
MLOC_31206.1	004_15d124	TRUE
MLOC_31258.1	004_15d124	TRUE
MLOC_31284.1	004_15d124	TRUE
MLOC_31289.1	004_15d124	TRUE
MLOC_31293.1	004_15d124	TRUE
MLOC_31328.1	004_15d124	TRUE
MLOC_31348	004_15d124	TRUE
MLOC_31360.1	004_15d124	TRUE
MLOC_31388.1	004_15d124	TRUE
MLOC_31417.1	004_15d124	TRUE
MLOC_31444.1	004_15d124	TRUE
MLOC_31451.1	004_15d124	TRUE
MLOC_31453.1	004_15d124	TRUE
MLOC_3146	004_15d124	TRUE
MLOC_31534	004_15d124	TRUE
MLOC_31542.1	004_15d124	TRUE
MLOC_3164.1	004_15d124	TRUE
MLOC_31687.1	004_15d124	TRUE
